time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
46,0,15,1,16,1247,0,0,0,1,0,1,0,1,0,1,0,0,0,1
120,0,120,38,158,1329,0,0,0,1,0,1,0,1,0,1,0,0,0,1
78,0,30,3,33,1356,0,0,0,1,0,1,0,1,0,1,0,0,0,1
55,0,4,5,9,1354,0,0,0,1,0,1,0,1,0,1,0,0,0,1
39,0,3,10,13,1347,0,0,0,1,0,1,0,1,0,1,0,0,0,1
94,0,10,10,20,1348,0,0,0,1,0,1,0,1,0,1,0,0,0,1
222,0,4,5,9,1347,0,0,0,1,0,1,0,1,0,1,0,0,0,1
792,0,11,1,12,1357,0,0,0,1,0,1,0,1,0,1,0,0,0,1
21,0,22,0,22,1379,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,9,3,12,1385,0,0,0,1,0,1,0,1,0,1,0,0,0,1
28,0,1,1,2,1385,0,0,0,1,0,1,0,1,0,1,0,0,0,1
11,0,1,1,2,1385,0,0,0,1,0,1,0,1,0,1,0,0,0,1
61,0,22,0,22,1407,0,0,0,1,0,1,0,1,0,1,0,0,0,1
73,0,5,5,10,1407,0,0,0,1,0,1,0,1,0,1,0,0,0,1
1,0,8,3,11,1412,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,24,2,26,1434,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,0,1,1,2,1434,0,0,0,1,0,1,0,1,0,1,0,0,0,1
62,0,4,4,8,1407,0,0,0,1,0,1,0,1,0,1,0,0,0,1
81,0,14,7,21,1441,0,0,0,1,0,1,0,1,0,1,0,0,0,1
119,0,16,4,20,1453,0,0,0,1,0,1,0,1,0,1,0,0,0,1
24,0,12,5,17,1460,0,0,0,1,0,1,0,1,0,1,0,0,0,1
5,0,27,5,32,1482,0,0,0,1,0,1,0,1,0,1,0,0,0,1
44,0,3,0,3,1463,0,0,0,1,0,1,0,1,0,1,0,0,0,1
64,0,6,0,6,1491,0,0,0,1,0,1,0,1,0,1,0,0,0,1
28,0,3,3,6,1491,0,0,0,1,0,1,0,1,0,1,0,0,0,1
50,0,4,0,4,1495,0,0,0,1,0,1,0,1,0,1,0,0,0,1
143,0,10,10,20,1495,0,0,0,1,0,1,0,1,0,1,0,0,0,1
100,1,0,16,16,1479,0,0,0,1,0,1,0,1,0,1,0,0,1,1
368,1,23,1,24,1501,0,0,0,1,0,1,0,1,0,1,0,0,0,1
14,1,7,9,16,1499,0,0,0,1,0,1,0,1,0,1,0,0,0,1
599,2,1,1,2,1499,0,0,0,1,0,1,0,1,0,1,0,0,1,1
91,2,24,24,48,1499,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0,2,2,2,4,1499,0,0,0,1,0,1,0,1,0,1,0,0,0,1
6,2,10,9,19,1499,0,0,0,1,0,1,0,1,0,1,0,0,0,1
231,2,22,2,24,1519,0,0,0,1,0,1,0,1,0,1,0,0,0,1
20,2,4,1,5,1503,0,0,0,1,0,1,0,1,0,1,0,0,0,1
24,2,9,1,10,1511,0,0,0,1,0,1,0,1,0,1,0,0,0,1
2,2,1,1,2,1519,0,0,0,1,0,1,0,1,0,1,0,0,0,1
45,2,1,1,2,1531,0,0,0,1,0,1,0,1,0,1,0,0,0,1
99,2,24,132,156,1423,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,1,2,1423,0,0,0,1,0,1,0,0,0,1,0,0,0,1
80,2,1,1,2,1423,0,0,0,1,0,1,0,0,0,1,0,0,0,1
109,2,1,2,3,1530,0,0,0,1,0,1,0,1,0,1,0,0,0,1
102,2,4,5,9,1421,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,2,5,23,28,1403,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,7,1,8,1409,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,3,9,12,1403,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,29,24,53,1408,0,0,0,1,0,1,0,0,0,1,0,0,0,1
90,2,0,8,8,1400,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,7,0,7,1407,0,0,0,1,0,1,0,0,0,1,0,0,0,1
25,2,27,2,29,1432,0,0,0,1,0,1,0,0,0,1,0,0,0,1
12,2,18,8,26,1442,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,1,0,1,1443,0,0,0,1,0,1,0,0,0,1,0,0,0,1
52,2,1,1,2,1443,0,0,0,1,0,1,0,0,0,1,0,0,0,1
24,2,32,15,47,1460,0,0,0,1,0,1,0,0,0,1,0,0,0,1
20,2,2,1,3,1461,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4,2,3,2,5,1462,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,0,1,1,1461,0,0,0,1,0,1,0,0,0,1,0,0,0,1
69,2,13,4,17,1470,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,2,2,4,1470,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,24,0,24,1494,0,0,0,1,0,1,0,0,0,1,0,0,0,1
49,2,1,1,2,1494,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,2,0,23,23,1471,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,2,4,4,8,1471,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,2,16,12,28,1475,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,6,2,8,1474,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,1,1,2,1474,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,3,2,5,1475,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,1,2,1475,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,1,2,1475,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,5,4,9,1476,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,1,2,1476,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,1,2,1476,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,1,3,4,1473,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,10,8,18,1857,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2,1,3,4,1473,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,15,30,45,1462,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,8,5,13,1465,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,2,2,9,11,1470,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,2,3,3,6,1470,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,2,8,0,8,1485,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,2,0,2,1480,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,2,7,3,10,1484,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18,2,28,16,44,1489,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,2,86,53,139,1517,0,0,0,1,0,1,0,0,0,1,0,0,0,1
