time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,1,5,2,7,121,0,0,0,0,0,0,0,0,0,1,0,0,0,1
203,1,5,121,126,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,1,1,1,2,121,0,0,0,0,0,0,0,0,0,1,0,0,0,1
295,1,114,2,116,117,0,0,0,0,0,0,0,0,0,1,0,0,0,1
546,1,4,11,15,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,1,19,27,46,102,0,0,0,0,0,0,0,0,0,1,0,1,0,1
31,1,4,1,5,105,0,0,0,0,0,0,0,0,0,1,0,1,0,1
410,1,3,0,3,108,0,0,0,0,0,0,0,0,1,1,0,1,0,1
21,1,1,1,2,108,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,1,18,7,25,119,0,0,0,0,0,0,0,0,0,1,0,0,0,1
449,1,2,2,4,119,0,0,0,0,0,0,0,0,0,1,0,0,0,1
296,2,2,2,4,119,0,0,0,0,0,0,0,0,0,1,0,0,1,1
113,2,7,2,9,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1
241,2,1,1,2,124,0,0,0,0,0,0,0,0,0,1,0,0,0,1
67,2,25,33,58,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,2,18,23,41,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,21,34,55,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,1,1,2,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,3,3,6,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
532,2,11,6,17,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,2,7,7,14,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,2,6,6,12,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
525,2,2,2,4,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3,1,3,4,114,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,4,11,4,15,121,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,4,1,1,2,121,0,0,0,0,0,0,0,0,0,1,0,0,0,1
999,4,41,40,81,122,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,4,1,4,5,119,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,4,0,1,1,118,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,4,2,2,4,121,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,1,1,2,118,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1376,4,12,1,13,129,0,0,0,0,0,0,0,0,0,1,0,0,0,1
285,4,1,1,2,118,0,0,0,0,0,0,0,0,0,1,0,0,0,1
184,4,1,1,2,118,0,0,0,0,0,0,0,0,0,1,0,0,0,1
272,4,1,1,2,129,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,4,1,1,2,129,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,5,2,2,4,129,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,5,1,1,2,129,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,5,2,2,4,129,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3046,5,0,129,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,669,0,669,668,0,0,0,0,0,0,0,0,1,1,0,0,0,1
30,5,1,0,1,669,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,5,1,1,2,689,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2,5,25,6,31,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
39,5,2,2,4,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5,5,2,2,4,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,5,2,2,4,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,5,2,2,4,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,5,2,2,4,687,0,0,0,0,0,0,0,0,1,1,0,0,0,1
50,5,40,23,63,705,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,5,2,2,4,705,0,0,0,0,0,0,0,0,1,1,0,0,0,1
11,5,35,26,61,714,0,0,0,0,0,0,0,0,1,1,0,0,0,1
36,5,51,55,106,710,0,0,0,0,0,0,0,0,1,1,0,0,0,1
18,6,291,322,613,679,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3,6,36,24,60,691,0,0,0,0,0,0,0,0,1,1,0,0,0,1
193,6,198,101,299,789,0,0,0,0,0,0,0,0,1,1,0,0,0,1
93,6,65,84,149,770,0,0,0,0,0,0,0,0,1,1,0,0,0,1
137,6,148,98,246,820,0,0,0,0,0,0,0,0,1,1,0,0,0,1
104,6,110,110,220,820,0,0,0,0,0,0,0,0,1,1,0,0,0,1
162,6,115,60,175,875,0,0,0,0,0,0,0,0,1,1,0,0,0,1
221,6,108,23,131,960,0,0,0,0,0,0,0,0,1,1,0,0,0,1
221,6,7,2,9,965,0,0,0,0,0,0,0,0,1,1,0,0,0,1
450,6,82,48,130,999,0,0,0,0,0,0,0,0,1,1,0,0,0,1
357,6,207,79,286,1127,0,0,0,0,0,0,0,0,1,1,0,0,0,1
636,6,188,34,222,1281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,6,2,2,4,1281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
394,6,1,1,2,1281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,6,1,1,2,1281,0,0,0,0,0,0,0,0,1,1,0,0,0,1
537,6,378,341,719,1318,0,0,0,0,0,0,0,0,1,1,0,0,0,1
21,6,6,4,10,1320,0,0,0,0,0,0,0,0,1,1,0,0,0,1
175,6,60,50,110,1330,0,0,0,0,0,0,0,0,1,1,0,0,0,1
216,6,97,56,153,1371,0,0,0,0,0,0,0,0,1,1,0,0,0,1
504,6,79,64,143,1386,0,0,0,0,0,0,0,0,1,1,0,0,0,1
193,6,230,246,476,1370,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1923,6,1382,515,1897,2237,0,0,0,0,1,0,0,0,0,1,0,1,0,1
119,6,3,7,10,2233,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,2,2,4,2233,0,0,0,0,1,0,0,0,0,1,0,1,0,1
96,6,45,27,72,2251,0,0,0,0,1,0,0,0,0,1,0,1,0,1
306,6,33,37,70,2247,0,0,0,0,1,0,0,0,0,1,0,1,0,1
556,6,198,68,266,2377,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,198,68,266,2377,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,2,2,4,2377,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,2,2,4,2377,0,0,0,0,1,0,0,0,0,1,0,1,0,1
648,6,246,199,445,2424,0,0,0,0,1,0,0,0,0,1,0,1,0,1
480,6,150,141,291,2433,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,150,141,291,2433,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,6,169,180,349,2422,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,6,2,2,4,2433,0,0,0,0,1,0,0,0,0,1,0,1,0,1
646,6,253,169,422,2517,0,0,0,0,1,0,0,0,0,1,0,1,0,1
251,6,98,79,177,2536,0,0,0,0,0,0,0,0,0,1,0,1,0,1
